display_label,builder_count,type_count,types,assignment_by_builder
Bard,11,5,"class, concept, content, organization, person",qwen35_0_8b=class; qwen35_2b=class; qwen35_4b=content; qwen35_9b=concept; qwen3_0_6b=person; qwen3_1_7b=organization; qwen3_4b=person; qwen3_8b=class; gemma3_1b=person; gemma3_4b=organization; gemma3_12b=person
Berlin Wall,11,5,"artifact, content, event, location, other",qwen35_0_8b=artifact; qwen35_2b=artifact; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=location; qwen3_1_7b=location; qwen3_4b=other; qwen3_8b=location; gemma3_1b=event; gemma3_4b=content; gemma3_12b=artifact
Bitcoin,11,5,"artifact, concept, data, naturalobject, unknown","qwen35_0_8b=artifact; qwen35_2b=data; qwen35_4b=naturalobject; qwen35_9b=naturalobject; qwen3_0_6b=naturalobject; qwen3_1_7b=artifact; qwen3_4b=concept; qwen3_8b=concept,naturalobject; gemma3_1b=unknown; gemma3_4b=naturalobject; gemma3_12b=naturalobject"
Bose QuietComfort Ultra Headphones,11,5,"artifact, content, organization, person, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=product; qwen3_8b=content; gemma3_270m=person; gemma3_1b=product; gemma3_4b=artifact
ChatGPT Plus,11,5,"artifact, concept, content, service, unknown",qwen35_0_8b=unknown; qwen35_2b=unknown; qwen35_4b=content; qwen35_9b=artifact; qwen3_0_6b=content; qwen3_1_7b=artifact; qwen3_4b=concept; qwen3_8b=content; gemma3_1b=service; gemma3_4b=content; gemma3_12b=artifact
Cleric,11,5,"class, concept, content, organization, person",qwen35_0_8b=class; qwen35_2b=class; qwen35_4b=content; qwen35_9b=concept; qwen3_0_6b=person; qwen3_1_7b=organization; qwen3_4b=person; qwen3_8b=class; gemma3_1b=person; gemma3_4b=organization; gemma3_12b=person
Ennie,11,5,"data, event, game, other, unknown",qwen35_0_8b=event; qwen35_2b=data; qwen35_9b=event; qwen3_0_6b=unknown; qwen3_1_7b=unknown; qwen3_4b=event; qwen3_8b=event; gemma3_270m=game; gemma3_1b=unknown; gemma3_4b=other; gemma3_12b=event
Firewall,11,5,"artifact, concept, content, method, unknown",qwen35_0_8b=unknown; qwen35_2b=content; qwen35_4b=concept; qwen35_9b=method; qwen3_0_6b=artifact; qwen3_1_7b=artifact; qwen3_4b=content; qwen3_8b=concept; gemma3_1b=method; gemma3_4b=method; gemma3_12b=method
Fitbit Charge 6,11,5,"artifact, content, fitnesstracker, organization, product",qwen35_0_8b=product; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=fitnesstracker; gemma3_4b=artifact; gemma3_12b=artifact
GPT-3.5,11,5,"artifact, concept, content, event, method",qwen35_0_8b=concept; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=concept; qwen3_8b=concept; gemma3_1b=method; gemma3_4b=method; gemma3_12b=artifact
Hedge funds,11,5,"concept, content, investmentfund, method, organization",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=organization; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=investmentfund; gemma3_1b=method; gemma3_4b=content; gemma3_12b=organization
Hydrothermal Vents,11,5,"artifact, location, method, naturalobject, unknown","qwen35_0_8b=location; qwen35_2b=location,unknown; qwen35_4b=artifact,location; qwen35_9b=location; qwen3_0_6b=location; qwen3_1_7b=location; qwen3_4b=location; qwen3_8b=location; gemma3_1b=method; gemma3_4b=artifact,naturalobject; gemma3_12b=artifact,location"
LG A2 OLED TV,11,5,"artifact, content, location, product, tv",qwen35_0_8b=artifact; qwen35_2b=artifact; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=location; qwen3_1_7b=location; qwen3_4b=product; qwen3_8b=artifact; gemma3_270m=tv; gemma3_4b=artifact; gemma3_12b=content
Late-stage or pre-IPO funds,11,5,"concept, content, investmentfund, method, organization",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=concept; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=investmentfund; gemma3_1b=method; gemma3_4b=content; gemma3_12b=organization
Meganeuropsis,11,5,"artifact, content, creature, organism, species",qwen35_0_8b=creature; qwen35_2b=content; qwen35_4b=creature; qwen35_9b=creature; qwen3_0_6b=species; qwen3_1_7b=artifact; qwen3_4b=creature; qwen3_8b=organism; gemma3_1b=creature; gemma3_4b=creature; gemma3_12b=creature
PS5,11,5,"artifact, content, device, organization, product",qwen35_0_8b=artifact; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=device; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=product; gemma3_1b=artifact; gemma3_4b=organization; gemma3_12b=organization
Renown,11,5,"concept, data, event, resource, resourcemanagement",qwen35_0_8b=data; qwen35_2b=data; qwen35_4b=concept; qwen35_9b=concept; qwen3_0_6b=event; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=resourcemanagement; gemma3_1b=resource; gemma3_4b=concept; gemma3_12b=concept
Safety Advisory Group,11,5,"concept, event, organization, technical, unknown",qwen35_0_8b=concept; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=technical; gemma3_1b=unknown; gemma3_12b=organization
Sony WH-1000XM4,11,5,"artifact, content, event, headphone, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=product; qwen3_4b=content; qwen3_8b=content; gemma3_270m=headphone; gemma3_4b=artifact; gemma3_12b=artifact
Start-up funds,11,5,"concept, content, investmentfund, method, organization",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=concept; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=investmentfund; gemma3_1b=method; gemma3_4b=content; gemma3_12b=organization
iOS,11,5,"artifact, concept, content, location, operatingsystem",qwen35_0_8b=location; qwen35_2b=concept; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=location; qwen3_1_7b=location; qwen3_4b=location; qwen3_8b=operatingsystem; gemma3_1b=location; gemma3_4b=content; gemma3_12b=artifact
iPad,11,5,"artifact, content, device, location, organization",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_1_7b=device; qwen3_4b=location; qwen3_8b=artifact; gemma3_270m=device; gemma3_1b=organization; gemma3_4b=artifact; gemma3_12b=artifact
AirPods Max,11,4,"artifact, content, organization, product",qwen35_0_8b=artifact; qwen35_2b=product; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=artifact; qwen3_1_7b=organization; qwen3_4b=product; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=content; gemma3_12b=artifact
Alice In Wonderland,11,4,"content, creature, event, location",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=location; qwen3_1_7b=location; qwen3_4b=event; qwen3_8b=content; gemma3_270m=creature; gemma3_1b=event; gemma3_4b=content
Amnesia: The Bunker,11,4,"content, event, game, unknown",qwen35_0_8b=content; qwen35_2b=unknown; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=game; qwen3_4b=content; qwen3_8b=content; gemma3_1b=event; gemma3_4b=content; gemma3_12b=content
Apple AirTags,11,4,"artifact, content, product, unknown",qwen35_0_8b=unknown; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=product; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Apple Watch Ultra 2,11,4,"artifact, content, event, product",qwen35_0_8b=content; qwen35_2b=product; qwen35_4b=content; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=content; gemma3_1b=artifact; gemma3_4b=artifact; gemma3_12b=artifact
Aurora Borealis,11,4,"concept, event, naturalobject, unknown","qwen35_0_8b=concept; qwen35_2b=concept; qwen35_4b=naturalobject; qwen35_9b=concept,naturalobject; qwen3_0_6b=event; qwen3_1_7b=event; qwen3_4b=event; qwen3_8b=concept,event; gemma3_1b=concept; gemma3_4b=concept,unknown; gemma3_12b=event"
Bacteria,11,4,"concept, creature, naturalobject, unknown","qwen35_0_8b=concept; qwen35_2b=concept,unknown; qwen35_4b=creature; qwen35_9b=creature; qwen3_0_6b=naturalobject; qwen3_1_7b=naturalobject; qwen3_4b=creature; qwen3_8b=concept,naturalobject; gemma3_1b=creature,naturalobject; gemma3_4b=creature; gemma3_12b=creature"
Blade,11,4,"character, creature, person, unknown",qwen35_0_8b=person; qwen35_2b=person; qwen35_4b=person; qwen35_9b=unknown; qwen3_0_6b=creature; qwen3_1_7b=character; qwen3_4b=person; qwen3_8b=person; gemma3_1b=character; gemma3_4b=character; gemma3_12b=person
Dario Argento,11,4,"method, organization, person, unknown",qwen35_0_8b=organization; qwen35_2b=person; qwen35_4b=person; qwen35_9b=person; qwen3_0_6b=person; qwen3_1_7b=unknown; qwen3_4b=person; qwen3_8b=person; gemma3_1b=method; gemma3_4b=organization; gemma3_12b=person
Diablo 4,11,4,"concept, content, event, game","qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=concept,event; qwen3_1_7b=game; qwen3_4b=content; qwen3_8b=content; gemma3_1b=content; gemma3_4b=content; gemma3_12b=content"
Dmitrii Bivol,11,4,"naturalobject, organization, person, unknown",qwen35_0_8b=person; qwen35_2b=person; qwen35_4b=person; qwen35_9b=person; qwen3_0_6b=naturalobject; qwen3_1_7b=organization; qwen3_4b=person; qwen3_8b=person; gemma3_1b=unknown; gemma3_4b=person; gemma3_12b=person
Flamin' Hot Cheetos,11,4,"artifact, content, data, product",qwen35_0_8b=content; qwen35_2b=data; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=product; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=content; gemma3_1b=content; gemma3_4b=content; gemma3_12b=content
GPT-4 Turbo,11,4,"artifact, concept, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=artifact; qwen3_0_6b=concept; qwen3_1_7b=artifact; qwen3_4b=concept; qwen3_8b=concept; gemma3_1b=product; gemma3_4b=content; gemma3_12b=artifact
Google Pixel Buds A-Series,11,4,"artifact, content, organization, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=product; qwen3_8b=content; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Google Pixel Buds Pro,11,4,"artifact, content, organization, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Google Play Store,11,4,"content, location, organization, unknown","qwen35_0_8b=location; qwen35_2b=unknown; qwen35_4b=location; qwen35_9b=location; qwen3_0_6b=location; qwen3_1_7b=content,location; qwen3_4b=location; qwen3_8b=location; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=location"
Home,11,4,"content, game, location, unknown","qwen35_0_8b=unknown; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=location; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=game; gemma3_4b=content; gemma3_12b=content,unknown"
Jabra Elite 7 Active,11,4,"artifact, content, organization, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Jacksfilm,11,4,"organization, other, person, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_1b=unknown; gemma3_4b=other; gemma3_12b=person
Kenya,11,4,"location, organization, person, unknown",qwen35_0_8b=organization; qwen35_2b=unknown; qwen35_4b=organization; qwen35_9b=organization; qwen3_1_7b=unknown; qwen3_4b=location; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=location
Lecanemab,11,4,"artifact, content, drug, unknown","qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact,unknown; qwen35_9b=artifact; qwen3_0_6b=drug; qwen3_1_7b=artifact; qwen3_4b=content; qwen3_8b=content; gemma3_1b=drug; gemma3_4b=artifact,content; gemma3_12b=artifact"
Lil Gator Game,11,4,"content, event, game, unknown",qwen35_0_8b=content; qwen35_2b=unknown; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=game; qwen3_4b=content; qwen3_8b=content; gemma3_1b=content; gemma3_4b=content; gemma3_12b=content
MLB,11,4,"concept, location, organization, unknown",qwen35_0_8b=concept; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=location; qwen3_4b=organization; qwen3_8b=organization; gemma3_1b=unknown; gemma3_4b=concept; gemma3_12b=organization
Michigan,11,4,"location, organization, team, unknown",qwen35_0_8b=location; qwen35_2b=unknown; qwen35_4b=location; qwen35_9b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=location; gemma3_270m=team; gemma3_1b=location; gemma3_4b=location; gemma3_12b=location
NBA,11,4,"concept, event, location, organization",qwen35_0_8b=organization; qwen35_2b=concept; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=location; qwen3_4b=organization; qwen3_8b=organization; gemma3_1b=event; gemma3_4b=event; gemma3_12b=organization
Narwhal,11,4,"artifact, concept, content, organization",qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=content; qwen3_1_7b=artifact; qwen3_4b=organization; qwen3_8b=concept; gemma3_270m=content; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
PNAs,11,4,"artifact, concept, method, person",qwen35_0_8b=concept; qwen35_2b=method; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=person; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_1b=method; gemma3_4b=method; gemma3_12b=artifact
Peacock,11,4,"content, creature, event, organization",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_1b=organization; gemma3_4b=creature; gemma3_12b=organization
Pico,11,4,"company, event, organization, unknown",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=unknown; qwen3_8b=organization; gemma3_270m=company; gemma3_4b=organization; gemma3_12b=organization
Possessor,11,4,"concept, content, event, person",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=concept; qwen3_1_7b=event; qwen3_4b=content; qwen3_8b=content; gemma3_270m=person; gemma3_4b=content; gemma3_12b=content
Prince of Darkness,11,4,"concept, content, event, movie",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_1_7b=event; qwen3_4b=event; qwen3_8b=content; gemma3_270m=movie; gemma3_1b=concept; gemma3_4b=concept; gemma3_12b=content
Project Wolf Hunting,11,4,"artifact, content, movie, unknown",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=artifact; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=movie; gemma3_1b=unknown; gemma3_12b=content
Reddit,11,4,"content, organization, other, unknown",qwen35_0_8b=unknown; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=content; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=other; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Samsung Galaxy Buds 2 Pro,11,4,"artifact, content, organization, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=product; qwen3_8b=content; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
SellEnvo,11,4,"artifact, content, organization, person",qwen35_0_8b=organization; qwen35_2b=content; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=content; qwen3_4b=artifact; qwen3_8b=organization; gemma3_1b=person; gemma3_4b=organization; gemma3_12b=organization
Snapchat,11,4,"content, naturalobject, organization, socialmediaplatform",qwen35_0_8b=organization; qwen35_2b=content; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=naturalobject; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=socialmediaplatform; gemma3_4b=content; gemma3_12b=organization
Sonos Era 100,11,4,"artifact, content, organization, product",qwen35_0_8b=product; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=product; gemma3_1b=content; gemma3_4b=artifact; gemma3_12b=artifact
Sony LinkBuds,11,4,"artifact, content, event, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=artifact; qwen3_4b=content; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Sony WH-CH720N,11,4,"artifact, content, event, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=event; qwen3_1_7b=product; qwen3_4b=content; qwen3_8b=content; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Sportsbooks,11,4,"content, location, organization, unknown","qwen35_0_8b=organization; qwen35_2b=organization,unknown; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=content,location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=organization; gemma3_4b=organization; gemma3_12b=organization"
Steam Deck OLED,11,4,"artifact, concept, content, product",qwen35_0_8b=artifact; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=concept; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=content; gemma3_270m=product; gemma3_4b=artifact; gemma3_12b=artifact
Tchia,11,4,"artifact, concept, content, person",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=concept; qwen3_1_7b=artifact; qwen3_4b=content; qwen3_8b=content; gemma3_270m=person; gemma3_4b=content; gemma3_12b=content
The Heartsguard Saga,11,4,"concept, content, event, rpg",qwen35_0_8b=event; qwen35_2b=event; qwen35_4b=event; qwen35_9b=event; qwen3_1_7b=event; qwen3_4b=event; qwen3_8b=event; gemma3_270m=rpg; gemma3_1b=concept; gemma3_4b=content; gemma3_12b=content
The New York Times,11,4,"content, organization, other, unknown",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=organization; qwen35_9b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=other; gemma3_270m=unknown; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=content
TikTok,11,4,"content, location, naturalobject, organization",qwen35_0_8b=content; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=naturalobject; qwen3_1_7b=content; qwen3_4b=location; qwen3_8b=content; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Triangle Agency,11,4,"content, gamemaster, organization, unknown",qwen35_0_8b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=content; qwen3_8b=content; gemma3_270m=gamemaster; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Twilight: 2000,11,4,"content, event, rpg, unknown",qwen35_0_8b=event; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=content; qwen3_4b=content; qwen3_8b=content; gemma3_270m=rpg; gemma3_1b=unknown; gemma3_12b=content
Zoom,11,4,"artifact, content, method, organization",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=method; gemma3_4b=artifact; gemma3_12b=artifact
hydrogel,11,4,"artifact, concept, content, material","qwen35_2b=artifact; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=artifact,concept; qwen3_1_7b=artifact; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=material; gemma3_1b=content,material; gemma3_4b=artifact; gemma3_12b=artifact"
iPad mini,11,4,"artifact, content, organization, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=organization; qwen3_1_7b=artifact; qwen3_4b=product; qwen3_8b=content; gemma3_1b=artifact; gemma3_4b=artifact; gemma3_12b=artifact
lithium chloride,11,4,"chemical, data, material, naturalobject",qwen35_0_8b=data; qwen35_2b=data; qwen35_4b=naturalobject; qwen35_9b=naturalobject; qwen3_0_6b=material; qwen3_1_7b=data; qwen3_4b=naturalobject; qwen3_8b=naturalobject; gemma3_1b=chemical; gemma3_4b=naturalobject; gemma3_12b=naturalobject
AirPods (3rd gen),11,3,"artifact, product, unknown","qwen35_0_8b=artifact,unknown; qwen35_2b=unknown; qwen35_4b=artifact,unknown; qwen35_9b=artifact; qwen3_0_6b=artifact; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=unknown"
Amon-Ra St. Brown,11,3,"naturalobject, person, unknown",qwen35_0_8b=person; qwen35_2b=person; qwen35_4b=person; qwen35_9b=person; qwen3_0_6b=naturalobject; qwen3_1_7b=person; qwen3_4b=person; qwen3_8b=person; gemma3_1b=unknown; gemma3_4b=person; gemma3_12b=person
Apple AirPods (3rd Gen),11,3,"artifact, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=product; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=content; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Apple M2 Mac Mini,11,3,"artifact, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=product; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=content; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Apple Watch SE,11,3,"artifact, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=product; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Apple Watch Series 9,11,3,"artifact, content, product",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=product; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=product; gemma3_4b=artifact; gemma3_12b=artifact
Arctic Adventures,11,3,"organization, person, unknown",qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=organization; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=person; gemma3_1b=unknown; gemma3_4b=organization; gemma3_12b=organization
Aston Villa,11,3,"location, organization, sports",qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=sports; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
B&H Photo,11,3,"location, organization, retailer",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=location; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_1b=retailer; gemma3_4b=organization; gemma3_12b=organization
Backbone One,11,3,"artifact, concept, content",qwen35_0_8b=artifact; qwen35_2b=content; qwen35_4b=artifact; qwen35_9b=artifact; qwen3_0_6b=artifact; qwen3_1_7b=artifact; qwen3_4b=artifact; qwen3_8b=artifact; gemma3_1b=concept; gemma3_4b=artifact; gemma3_12b=artifact
Bending Spoons,11,3,"company, event, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=company; gemma3_4b=organization; gemma3_12b=organization
Bird,11,3,"event, location, organization",qwen35_0_8b=location; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=event; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Blasphemous 2,11,3,"content, event, game",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=game; qwen3_4b=content; qwen3_8b=content; gemma3_1b=game; gemma3_4b=content; gemma3_12b=content
Bloomberg,11,3,"financialstatement, newsagency, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=newsagency; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=organization; gemma3_270m=financialstatement; gemma3_4b=organization; gemma3_12b=organization
Brighton,11,3,"location, organization, other",qwen35_0_8b=location; qwen35_2b=organization; qwen35_4b=location; qwen35_9b=location; qwen3_0_6b=other; qwen3_1_7b=location; qwen3_4b=organization; qwen3_8b=location; gemma3_1b=organization; gemma3_4b=organization; gemma3_12b=organization
Captain Marvel,11,3,"character, person, unknown",qwen35_0_8b=person; qwen35_2b=person; qwen35_4b=person; qwen35_9b=unknown; qwen3_0_6b=character; qwen3_1_7b=character; qwen3_4b=person; qwen3_8b=person; gemma3_1b=character; gemma3_4b=character; gemma3_12b=person
City of Winter,11,3,"content, event, location",qwen35_0_8b=content; qwen35_2b=content; qwen35_4b=content; qwen35_9b=content; qwen3_0_6b=event; qwen3_1_7b=location; qwen3_4b=content; qwen3_8b=content; gemma3_1b=event; gemma3_4b=content; gemma3_12b=content
Climate Change,11,3,"concept, report, unknown","qwen35_0_8b=concept; qwen35_2b=concept; qwen35_4b=concept,unknown; qwen35_9b=concept; qwen3_1_7b=concept; qwen3_4b=concept; qwen3_8b=concept; gemma3_270m=report; gemma3_1b=concept; gemma3_4b=concept; gemma3_12b=concept"
CoinDesk,11,3,"content, location, organization",qwen35_0_8b=organization; qwen35_2b=organization; qwen35_4b=organization; qwen35_9b=organization; qwen3_0_6b=content; qwen3_1_7b=organization; qwen3_4b=organization; qwen3_8b=content; gemma3_1b=location; gemma3_4b=content; gemma3_12b=organization
